site,Trap,latitude,longitude,Year,date,GPaphid,BLH
C-3,C,37.76156,-106.1914,2024,7/4/2024,0,0
C-7,A,37.76197,-106.10181,2024,7/4/2024,0,0
C-7,B,37.76197,-106.10181,2024,7/4/2024,0,0
C-7,C,37.76197,-106.10181,2024,7/4/2024,0,0
C-13,A,37.74855,-105.92827,2024,7/4/2024,0,1
C-13,B,37.74855,-105.92827,2024,7/4/2024,0,0
C-13,C,37.74855,-105.92827,2024,7/4/2024,0,0
8-3,A,37.69127,-106.18399,2024,7/4/2024,0,0
8-3,B,37.69127,-106.18399,2024,7/4/2024,0,1
8-3,C,37.69127,-106.18399,2024,7/4/2024,0,0
8-11,A,37.68908,-106.03678,2024,7/4/2024,0,0
8-11,B,37.68908,-106.03678,2024,7/4/2024,0,2
8-11,C,37.68908,-106.03678,2024,7/4/2024,0,0
MV-6,A,37.61977,-106.15104,2024,7/4/2024,0,2
MV-6,B,37.61977,-106.15104,2024,7/4/2024,0,0
MV-6,C,37.61977,-106.15104,2024,7/4/2024,0,0
MV-12,A,37.61647,-106.04654,2024,7/4/2024,0,4
MV-12,B,37.61647,-106.04654,2024,7/4/2024,0,1
MV-12,C,37.61647,-106.04654,2024,7/4/2024,0,0
Mosca,A,37.64902,-105.88987,2024,7/4/2024,0,0
Mosca,B,37.64902,-105.88987,2024,7/4/2024,0,0
Mosca,C,37.64902,-105.88987,2024,7/4/2024,0,0
E-51,A,37.80719,-106.07557,2024,7/12/2024,0,0
E-51,B,37.80719,-106.07557,2024,7/12/2024,0,0
E-51,C,37.80719,-106.07557,2024,7/12/2024,0,0
E-60,A,37.80608,-105.90836,2024,7/12/2024,0,0
E-60,B,37.80608,-105.90836,2024,7/12/2024,0,0
E-60,C,37.80608,-105.90836,2024,7/12/2024,0,0
C-3,A,37.76156,-106.1914,2024,7/12/2024,0,3
C-3,B,37.76156,-106.1914,2024,7/12/2024,0,4
C-3,C,37.76156,-106.1914,2024,7/12/2024,0,2
C-7,A,37.76197,-106.10181,2024,7/12/2024,0,1
C-7,B,37.76197,-106.10181,2024,7/12/2024,0,0
C-7,C,37.76197,-106.10181,2024,7/12/2024,0,1
C-13,A,37.74855,-105.92827,2024,7/12/2024,0,0
C-13,B,37.74855,-105.92827,2024,7/12/2024,0,1
C-13,C,37.74855,-105.92827,2024,7/12/2024,0,0
8-3,A,37.69127,-106.18399,2024,7/12/2024,0,2
8-3,B,37.69127,-106.18399,2024,7/12/2024,0,1
8-3,C,37.69127,-106.18399,2024,7/12/2024,0,3
8-11,A,37.68908,-106.03678,2024,7/12/2024,0,3
8-11,B,37.68908,-106.03678,2024,7/12/2024,0,1
8-11,C,37.68908,-106.03678,2024,7/12/2024,0,0
MV-6,A,37.61977,-106.15104,2024,7/12/2024,0,5
MV-6,B,37.61977,-106.15104,2024,7/12/2024,0,3
MV-6,C,37.61977,-106.15104,2024,7/12/2024,0,2
MV-12,A,37.61647,-106.04654,2024,7/12/2024,0,27
MV-12,B,37.61647,-106.04654,2024,7/12/2024,0,5
MV-12,C,37.61647,-106.04654,2024,7/12/2024,0,4
Mosca,A,37.64902,-105.88987,2024,7/12/2024,0,1
Mosca,B,37.64902,-105.88987,2024,7/12/2024,0,1
Mosca,C,37.64902,-105.88987,2024,7/12/2024,0,0
E-51,A,37.80719,-106.07557,2024,7/18/2024,0,10
E-51,B,37.80719,-106.07557,2024,7/18/2024,0,20
E-51,C,37.80719,-106.07557,2024,7/18/2024,0,12
E-60,A,37.80608,-105.90836,2024,7/18/2024,0,0
E-60,B,37.80608,-105.90836,2024,7/18/2024,0,0
E-60,C,37.80608,-105.90836,2024,7/18/2024,0,3
C-3,A,37.76156,-106.1914,2024,7/18/2024,1,12
C-3,B,37.76156,-106.1914,2024,7/18/2024,1,5
C-3,C,37.76156,-106.1914,2024,7/18/2024,0,16
C-7,A,37.76197,-106.10181,2024,7/18/2024,0,6
C-7,B,37.76197,-106.10181,2024,7/18/2024,0,4
C-7,C,37.76197,-106.10181,2024,7/18/2024,0,2
C-13,A,37.74855,-105.92827,2024,7/18/2024,1,2
C-13,B,37.74855,-105.92827,2024,7/18/2024,0,1
C-13,C,37.74855,-105.92827,2024,7/18/2024,0,2
8-3,A,37.69127,-106.18399,2024,7/18/2024,0,3
8-3,B,37.69127,-106.18399,2024,7/18/2024,0,5
8-3,C,37.69127,-106.18399,2024,7/18/2024,0,7
8-11,A,37.68908,-106.03678,2024,7/18/2024,0,3
8-11,B,37.68908,-106.03678,2024,7/18/2024,0,3
8-11,C,37.68908,-106.03678,2024,7/18/2024,0,1
MV-6,A,37.61977,-106.15104,2024,7/18/2024,0,0
MV-6,B,37.61977,-106.15104,2024,7/18/2024,0,2
MV-6,C,37.61977,-106.15104,2024,7/18/2024,0,0
MV-12,A,37.61647,-106.04654,2024,7/18/2024,1,15
MV-12,B,37.61647,-106.04654,2024,7/18/2024,0,12
MV-12,C,37.61647,-106.04654,2024,7/18/2024,0,18
Mosca,A,37.64902,-105.88987,2024,7/18/2024,0,0
Mosca,B,37.64902,-105.88987,2024,7/18/2024,0,0
Mosca,C,37.64902,-105.88987,2024,7/18/2024,0,0
E-51,A,37.80719,-106.07557,2024,7/25/2024,0,4
E-51,B,37.80719,-106.07557,2024,7/25/2024,0,6
E-51,C,37.80719,-106.07557,2024,7/25/2024,0,5
E-60,A,37.80608,-105.90836,2024,7/25/2024,0,1
E-60,B,37.80608,-105.90836,2024,7/25/2024,0,1
E-60,C,37.80608,-105.90836,2024,7/25/2024,0,0
C-3,A,37.76156,-106.1914,2024,7/25/2024,0,5
C-3,B,37.76156,-106.1914,2024,7/25/2024,0,10
C-3,C,37.76156,-106.1914,2024,7/25/2024,0,7
C-7,A,37.76197,-106.10181,2024,7/25/2024,0,1
C-7,B,37.76197,-106.10181,2024,7/25/2024,0,1
C-7,C,37.76197,-106.10181,2024,7/25/2024,0,0
C-13,A,37.74855,-105.92827,2024,7/25/2024,0,2
C-13,B,37.74855,-105.92827,2024,7/25/2024,0,1
C-13,C,37.74855,-105.92827,2024,7/25/2024,0,1
8-3,A,37.69127,-106.18399,2024,7/25/2024,0,4
8-3,B,37.69127,-106.18399,2024,7/25/2024,0,0
8-3,C,37.69127,-106.18399,2024,7/25/2024,0,0
8-11,A,37.68908,-106.03678,2024,7/25/2024,0,1
8-11,B,37.68908,-106.03678,2024,7/25/2024,0,0
8-11,C,37.68908,-106.03678,2024,7/25/2024,0,1
MV-6,A,37.61977,-106.15104,2024,7/25/2024,0,4
MV-6,B,37.61977,-106.15104,2024,7/25/2024,0,11
MV-6,C,37.61977,-106.15104,2024,7/25/2024,0,16
MV-12,A,37.61647,-106.04654,2024,7/25/2024,0,17
MV-12,B,37.61647,-106.04654,2024,7/25/2024,1,21
MV-12,C,37.61647,-106.04654,2024,7/25/2024,0,10
Mosca,A,37.64902,-105.88987,2024,7/25/2024,0,0
Mosca,B,37.64902,-105.88987,2024,7/25/2024,1,0
Mosca,C,37.64902,-105.88987,2024,7/25/2024,0,0
E-51,A,37.80719,-106.07557,2024,8/1/2024,0,27
E-51,B,37.80719,-106.07557,2024,8/1/2024,3,37
E-51,C,37.80719,-106.07557,2024,8/1/2024,3,13
E-60,A,37.80608,-105.90836,2024,8/1/2024,6,5
E-60,B,37.80608,-105.90836,2024,8/1/2024,2,3
E-60,C,37.80608,-105.90836,2024,8/1/2024,4,0
C-3,A,37.76156,-106.1914,2024,8/1/2024,5,26
C-3,B,37.76156,-106.1914,2024,8/1/2024,3,30
C-3,C,37.76156,-106.1914,2024,8/1/2024,4,43
C-7,A,37.76197,-106.10181,2024,8/1/2024,31,10
C-7,B,37.76197,-106.10181,2024,8/1/2024,21,12
C-7,C,37.76197,-106.10181,2024,8/1/2024,34,12
C-13,A,37.74855,-105.92827,2024,8/1/2024,3,12
C-13,B,37.74855,-105.92827,2024,8/1/2024,9,16
C-13,C,37.74855,-105.92827,2024,8/1/2024,3,12
8-3,A,37.69127,-106.18399,2024,8/1/2024,0,24
8-3,B,37.69127,-106.18399,2024,8/1/2024,0,12
8-3,C,37.69127,-106.18399,2024,8/1/2024,0,47
8-11,A,37.68908,-106.03678,2024,8/1/2024,1,3
8-11,B,37.68908,-106.03678,2024,8/1/2024,1,3
8-11,C,37.68908,-106.03678,2024,8/1/2024,4,4
MV-6,A,37.61977,-106.15104,2024,8/1/2024,1,13
MV-6,B,37.61977,-106.15104,2024,8/1/2024,0,0
MV-6,C,37.61977,-106.15104,2024,8/1/2024,0,0
MV-12,A,37.61647,-106.04654,2024,8/1/2024,1,59
MV-12,B,37.61647,-106.04654,2024,8/1/2024,1,25
MV-12,C,37.61647,-106.04654,2024,8/1/2024,1,28
Mosca,A,37.64902,-105.88987,2024,8/1/2024,0,0
Mosca,B,37.64902,-105.88987,2024,8/1/2024,0,0
Mosca,C,37.64902,-105.88987,2024,8/1/2024,0,0
E-51,A,37.80719,-106.07557,2024,8/8/2024,26,11
E-51,B,37.80719,-106.07557,2024,8/8/2024,38,10
E-51,C,37.80719,-106.07557,2024,8/8/2024,42,32
E-60,A,37.80608,-105.90836,2024,8/8/2024,100,8
E-60,B,37.80608,-105.90836,2024,8/8/2024,54,9
E-60,C,37.80608,-105.90836,2024,8/8/2024,30,7
C-3,A,37.76156,-106.1914,2024,8/8/2024,37,19
C-3,B,37.76156,-106.1914,2024,8/8/2024,22,38
C-3,C,37.76156,-106.1914,2024,8/8/2024,19,32
C-7,A,37.76197,-106.10181,2024,8/8/2024,429,41
C-7,B,37.76197,-106.10181,2024,8/8/2024,317,17
C-7,C,37.76197,-106.10181,2024,8/8/2024,341,22
C-13,A,37.74855,-105.92827,2024,8/8/2024,87,13
C-13,B,37.74855,-105.92827,2024,8/8/2024,20,14
C-13,C,37.74855,-105.92827,2024,8/8/2024,20,7
8-3,A,37.69127,-106.18399,2024,8/8/2024,9,63
8-3,B,37.69127,-106.18399,2024,8/8/2024,9,57
8-3,C,37.69127,-106.18399,2024,8/8/2024,5,77
8-11,A,37.68908,-106.03678,2024,8/8/2024,8,15
8-11,B,37.68908,-106.03678,2024,8/8/2024,3,7
8-11,C,37.68908,-106.03678,2024,8/8/2024,17,2
MV-6,A,37.61977,-106.15104,2024,8/8/2024,11,152
MV-6,B,37.61977,-106.15104,2024,8/8/2024,200,51
MV-6,C,37.61977,-106.15104,2024,8/8/2024,573,113
MV-12,A,37.61647,-106.04654,2024,8/8/2024,3,128
MV-12,B,37.61647,-106.04654,2024,8/8/2024,6,99
MV-12,C,37.61647,-106.04654,2024,8/8/2024,3,78
Mosca,A,37.64902,-105.88987,2024,8/8/2024,0,0
Mosca,B,37.64902,-105.88987,2024,8/8/2024,2,2
Mosca,C,37.64902,-105.88987,2024,8/8/2024,0,2
E-51,A,37.80719,-106.07557,2024,8/15/2024,8,28
E-51,B,37.80719,-106.07557,2024,8/15/2024,112,6
E-51,C,37.80719,-106.07557,2024,8/15/2024,23,12
E-60,A,37.80608,-105.90836,2024,8/15/2024,129,5
E-60,B,37.80608,-105.90836,2024,8/15/2024,253,17
E-60,C,37.80608,-105.90836,2024,8/15/2024,305,0
C-3,A,37.76156,-106.1914,2024,8/15/2024,94,0
C-3,B,37.76156,-106.1914,2024,8/15/2024,0,0
C-3,C,37.76156,-106.1914,2024,8/15/2024,0,0
C-7,A,37.76197,-106.10181,2024,8/15/2024,78,13
C-7,B,37.76197,-106.10181,2024,8/15/2024,187,7
C-7,C,37.76197,-106.10181,2024,8/15/2024,48,7
C-13,A,37.74855,-105.92827,2024,8/15/2024,70,5
C-13,B,37.74855,-105.92827,2024,8/15/2024,124,0
C-13,C,37.74855,-105.92827,2024,8/15/2024,77,0
8-3,A,37.69127,-106.18399,2024,8/15/2024,20,8
8-3,B,37.69127,-106.18399,2024,8/15/2024,10,11
8-3,C,37.69127,-106.18399,2024,8/15/2024,8,6
8-11,A,37.68908,-106.03678,2024,8/15/2024,123,5
8-11,B,37.68908,-106.03678,2024,8/15/2024,281,6
8-11,C,37.68908,-106.03678,2024,8/15/2024,199,2
MV-6,A,37.61977,-106.15104,2024,8/15/2024,1762,13
MV-6,B,37.61977,-106.15104,2024,8/15/2024,96,16
MV-6,C,37.61977,-106.15104,2024,8/15/2024,1693,20
MV-12,A,37.61647,-106.04654,2024,8/15/2024,41,31
MV-12,B,37.61647,-106.04654,2024,8/15/2024,30,50
MV-12,C,37.61647,-106.04654,2024,8/15/2024,17,22
Mosca,A,37.64902,-105.88987,2024,8/15/2024,4,1
Mosca,B,37.64902,-105.88987,2024,8/15/2024,0,0
Mosca,C,37.64902,-105.88987,2024,8/15/2024,0,2
E-51,A,37.80719,-106.07557,2024,8/22/2024,23,5
E-51,B,37.80719,-106.07557,2024,8/22/2024,27,4
E-51,C,37.80719,-106.07557,2024,8/22/2024,0,0
E-60,A,37.80608,-105.90836,2024,8/22/2024,248,1
E-60,B,37.80608,-105.90836,2024,8/22/2024,216,4
E-60,C,37.80608,-105.90836,2024,8/22/2024,153,4
C-3,A,37.76156,-106.1914,2024,8/22/2024,79,5
C-3,B,37.76156,-106.1914,2024,8/22/2024,0,0
C-3,C,37.76156,-106.1914,2024,8/22/2024,0,0
C-7,A,37.76197,-106.10181,2024,8/22/2024,665,15
C-7,B,37.76197,-106.10181,2024,8/22/2024,832,11
C-7,C,37.76197,-106.10181,2024,8/22/2024,524,8
C-13,A,37.74855,-105.92827,2024,8/22/2024,761,37
C-13,B,37.74855,-105.92827,2024,8/22/2024,901,14
C-13,C,37.74855,-105.92827,2024,8/22/2024,773,8
8-3,A,37.69127,-106.18399,2024,8/22/2024,27,12
8-3,B,37.69127,-106.18399,2024,8/22/2024,17,22
8-3,C,37.69127,-106.18399,2024,8/22/2024,201,38
8-11,A,37.68908,-106.03678,2024,8/22/2024,244,5
8-11,B,37.68908,-106.03678,2024,8/22/2024,208,1
8-11,C,37.68908,-106.03678,2024,8/22/2024,747,9
MV-6,A,37.61977,-106.15104,2024,8/22/2024,904,43
MV-6,B,37.61977,-106.15104,2024,8/22/2024,436,54
MV-6,C,37.61977,-106.15104,2024,8/22/2024,22,15
MV-12,A,37.61647,-106.04654,2024,8/22/2024,214,52
MV-12,B,37.61647,-106.04654,2024,8/22/2024,417,29
MV-12,C,37.61647,-106.04654,2024,8/22/2024,252,28
Mosca,A,37.64902,-105.88987,2024,8/22/2024,3,1
Mosca,B,37.64902,-105.88987,2024,8/22/2024,5,0
Mosca,C,37.64902,-105.88987,2024,8/22/2024,1,0
E-51,A,37.80719,-106.07557,2024,8/29/2024,42,9
E-51,B,37.80719,-106.07557,2024,8/29/2024,154,3
E-51,C,37.80719,-106.07557,2024,8/29/2024,18,14
E-60,A,37.80608,-105.90836,2024,8/29/2024,52,0
E-60,B,37.80608,-105.90836,2024,8/29/2024,54,4
E-60,C,37.80608,-105.90836,2024,8/29/2024,15,4
C-3,A,37.76156,-106.1914,2024,8/29/2024,38,0
C-3,B,37.76156,-106.1914,2024,8/29/2024,0,0
C-3,C,37.76156,-106.1914,2024,8/29/2024,700,10
C-7,A,37.76197,-106.10181,2024,8/29/2024,355,8
C-7,B,37.76197,-106.10181,2024,8/29/2024,704,7
C-7,C,37.76197,-106.10181,2024,8/29/2024,0,0
C-13,A,37.74855,-105.92827,2024,8/29/2024,134,12
C-13,B,37.74855,-105.92827,2024,8/29/2024,90,4
C-13,C,37.74855,-105.92827,2024,8/29/2024,179,23
8-3,A,37.69127,-106.18399,2024,8/29/2024,10,3
8-3,B,37.69127,-106.18399,2024,8/29/2024,15,12
8-3,C,37.69127,-106.18399,2024,8/29/2024,54,17
8-11,A,37.68908,-106.03678,2024,8/29/2024,111,2
8-11,B,37.68908,-106.03678,2024,8/29/2024,134,12
8-11,C,37.68908,-106.03678,2024,8/29/2024,379,7
MV-6,A,37.61977,-106.15104,2024,8/29/2024,26,23
MV-6,B,37.61977,-106.15104,2024,8/29/2024,333,27
MV-6,C,37.61977,-106.15104,2024,8/29/2024,357,20
MV-12,A,37.61647,-106.04654,2024,8/29/2024,256,30
MV-12,B,37.61647,-106.04654,2024,8/29/2024,235,21
MV-12,C,37.61647,-106.04654,2024,8/29/2024,242,13
Mosca,A,37.64902,-105.88987,2024,8/29/2024,3,0
Mosca,B,37.64902,-105.88987,2024,8/29/2024,0,0
Mosca,C,37.64902,-105.88987,2024,8/29/2024,1,0
E-51,A,37.80719,-106.07557,2024,9/5/2024,101,15
E-51,B,37.80719,-106.07557,2024,9/5/2024,265,11
E-51,C,37.80719,-106.07557,2024,9/5/2024,85,13
E-60,A,37.80608,-105.90836,2024,9/5/2024,14,0
E-60,B,37.80608,-105.90836,2024,9/5/2024,8,3
E-60,C,37.80608,-105.90836,2024,9/5/2024,10,0
C-3,A,37.76156,-106.1914,2024,9/5/2024,0,0
C-3,B,37.76156,-106.1914,2024,9/5/2024,0,0
C-3,C,37.76156,-106.1914,2024,9/5/2024,127,13
C-7,A,37.76197,-106.10181,2024,9/5/2024,208,12
C-7,B,37.76197,-106.10181,2024,9/5/2024,150,6
C-7,C,37.76197,-106.10181,2024,9/5/2024,317,3
C-13,A,37.74855,-105.92827,2024,9/5/2024,28,2
C-13,B,37.74855,-105.92827,2024,9/5/2024,51,8
C-13,C,37.74855,-105.92827,2024,9/5/2024,152,16
8-3,A,37.69127,-106.18399,2024,9/5/2024,28,11
8-3,B,37.69127,-106.18399,2024,9/5/2024,43,12
8-3,C,37.69127,-106.18399,2024,9/5/2024,46,7
8-11,A,37.68908,-106.03678,2024,9/5/2024,102,2
8-11,B,37.68908,-106.03678,2024,9/5/2024,123,9
8-11,C,37.68908,-106.03678,2024,9/5/2024,105,17
MV-6,A,37.61977,-106.15104,2024,9/5/2024,150,18
MV-6,B,37.61977,-106.15104,2024,9/5/2024,224,13
MV-6,C,37.61977,-106.15104,2024,9/5/2024,29,26
MV-12,A,37.61647,-106.04654,2024,9/5/2024,28,27
MV-12,B,37.61647,-106.04654,2024,9/5/2024,35,32
MV-12,C,37.61647,-106.04654,2024,9/5/2024,13,21
Mosca,A,37.64902,-105.88987,2024,9/5/2024,4,0
Mosca,B,37.64902,-105.88987,2024,9/5/2024,2,0
Mosca,C,37.64902,-105.88987,2024,9/5/2024,1,2
E-51,A,37.80719,-106.07557,2023,6/23/2023,0,1
E-54,A,37.80713,-106.0193,2023,6/23/2023,0,1
E-60,A,37.80608,-105.90836,2023,6/23/2023,0,0
C-1,A,37.76157,-106.2118,2023,6/23/2023,0,0
C-3,A,37.76156,-106.1914,2023,6/23/2023,0,0
C-5,A,37.76211,-106.13142,2023,6/23/2023,0,0
C-7,A,37.76197,-106.10181,2023,6/23/2023,0,0
C-9,A,37.76196,-106.05859,2023,6/23/2023,0,0
C-11,A,37.7637,-106.01477,2023,6/23/2023,0,1
C-13,A,37.74855,-105.92827,2023,6/23/2023,0,0
Hooper,A,37.75014,-105.89846,2023,6/23/2023,0,0
RS-1,A,37.70577,-106.14674,2023,6/23/2023,0,0
8-1,A,37.68887,-106.22063,2023,6/23/2023,0,0
8-3,A,37.69127,-106.18399,2023,6/23/2023,0,0
8-5,A,37.69142,-106.15042,2023,6/23/2023,0,0
8-7,A,37.69646,-106.08312,2023,6/23/2023,0,0
8-9,A,37.68874,-106.07336,2023,6/23/2023,0,0
8-11,A,37.68908,-106.03678,2023,6/23/2023,0,0
8-13,A,37.68901,-106.00354,2023,6/23/2023,0,0
8-15,A,37.69235,-105.9264,2023,6/23/2023,0,0
MV-2,A,37.64865,-106.21451,2023,6/23/2023,0,0
MV-4,A,37.63146,-106.17496,2023,6/23/2023,0,0
MV-6,A,37.61977,-106.15104,2023,6/23/2023,0,0
MV-8,A,37.61935,-106.11392,2023,6/23/2023,0,0
MV-10,A,37.61612,-106.07407,2023,6/23/2023,0,0
